,x1,x2,y
0,-0.7547625081854461,-0.6343471967110221,1.0
1,-0.7383836897095701,-0.6661846464092805,1.0
2,-0.7167535481822184,-0.6736694659034164,1.0
3,-0.6306841888328159,-0.7224299763637889,1.0
4,-0.7193697210556711,-0.64133743965834,1.0
5,-0.7131835003458015,-0.6530234982768525,1.0
6,-0.7144234797963089,-0.7760549175860902,1.0
7,-0.738614088520444,-0.7760585895357166,1.0
8,-0.7330028726787154,-0.7451224672089832,1.0
9,-0.6678370547482769,-0.7449381742430523,1.0
10,-0.6457864972694922,-0.6226373613756855,1.0
11,-0.7000552683734856,-0.7560089300048518,1.0
12,-0.6873019116146227,-0.7729441424738934,1.0
13,-0.6735176800398346,-0.7005865413652848,1.0
14,-0.713792801932148,-0.7122697560138608,1.0
15,-0.6383610436134117,-0.737603280419779,1.0
16,-0.7515000498962338,-0.6552833322779854,1.0
17,-0.6837559477389338,-0.7466284581846959,1.0
18,-0.7391039326957262,-0.6256532622414313,1.0
19,-0.770114785176547,-0.7424489942578969,1.0
20,-0.7232571468685945,-0.7354169422533489,1.0
21,-0.6796373202296657,-0.703061941462207,1.0
22,-0.7156703306967448,-0.6994449135367913,1.0
23,-0.7705832760931632,-0.7653889421132055,1.0
24,-0.6611911675596388,-0.6439452221014204,1.0
25,-0.7007344158094412,-0.6507109724340947,1.0
26,-0.6775284470174481,-0.7235106200875177,1.0
27,-0.6954560083511345,-0.6356347368136457,1.0
28,-0.6495875808810414,-0.6446624204589212,1.0
29,-0.6357599185608778,-0.7743038185322153,1.0
30,-0.6902387888114877,-0.7004973123010997,1.0
31,-0.7964267610022311,-0.7150057630586608,1.0
32,-0.6718290903337151,-0.6799017130572382,1.0
33,-0.6994682419035856,-0.7005532536967007,1.0
34,-0.7026047348884619,-0.7009714052254202,1.0
35,-0.7461080561082087,-0.7035427782317234,1.0
36,-0.7100969489556207,-0.6527428352777804,1.0
37,-0.6833331512875594,-0.6365461652146767,1.0
38,-0.7216474639979257,-0.7182603709667851,1.0
39,-0.6365549445971186,-0.6779397824867013,1.0
40,-0.6778681353417424,-0.7164734916782454,1.0
41,-0.7864989358441317,-0.7298065557064685,1.0
42,-0.6654281193960241,-0.7536070710545588,1.0
43,-0.7123974766865269,-0.7288649621917184,1.0
44,-0.6956687378615177,-0.6974809422945324,1.0
45,-0.7063106921341418,-0.6667557579359201,1.0
46,-0.6759340138265004,-0.717739752769594,1.0
47,-0.7489830317362344,-0.771759800850575,1.0
48,-0.7042888989284783,-0.6965215267193865,1.0
49,-0.7634018397905892,-0.7652658983575681,1.0
50,-0.7042117364077691,-0.6113385422260831,1.0
51,-0.7343404158250708,-0.6565044182462958,1.0
52,-0.7316267282822463,-0.6658903434399008,1.0
53,-0.6971495636375313,-0.7276687691576145,1.0
54,-0.6951310538173058,-0.7614245510784206,1.0
55,-0.6426405936555585,-0.6988889018885913,1.0
56,-0.732479612440179,-0.7114356022289148,1.0
57,-0.6194139696908043,-0.6735731449987501,1.0
58,-0.7643627858556522,-0.6773670100363237,1.0
59,-0.6114889803779303,-0.7185536304306865,1.0
60,-0.6983234322486186,-0.7009012416104291,1.0
61,-0.71528320434699,-0.6933321895121884,1.0
62,-0.6384560518926841,-0.774618020164767,1.0
63,-0.6957963318418139,-0.7014349964991999,1.0
64,-0.7289232295231673,-0.6838700947528129,1.0
65,-0.7146099893986761,-0.667873302301202,1.0
66,-0.6941298851997374,-0.685309754348579,1.0
67,-0.7662178786813114,-0.6746627015599566,1.0
68,-0.6932483805913464,-0.6931550383467743,1.0
69,-0.613484286067619,-0.6498085092246451,1.0
70,-0.6995678502194242,-0.7021493162392979,1.0
71,-0.7213240970379438,-0.6809526721079013,1.0
72,-0.7714433029593469,-0.7443598910066727,1.0
73,-0.7798011330398612,-0.7227244560770587,1.0
74,-0.6793209983718077,-0.7498839345853382,1.0
75,-0.666785545292443,-0.7037584239461547,1.0
76,-0.7177081172510374,-0.6700990815855978,1.0
77,-0.6931231288570816,-0.6940550589667412,1.0
78,-0.6708177339984884,-0.646733184803348,1.0
79,-0.7369505391073815,-0.6218414080965226,1.0
80,-0.7710040408536522,-0.7240460069343687,1.0
81,-0.7226820696124142,-0.7292297729090635,1.0
82,-0.6528837975510596,-0.7148692706116182,1.0
83,-0.7302885286003336,-0.7734857624445461,1.0
84,-0.7249081111515596,-0.7002456758833967,1.0
85,-0.6678246442627466,-0.7677322479944606,1.0
86,-0.7812538668928314,-0.6586899448381195,1.0
87,-0.6778702610105117,-0.7140537674041914,1.0
88,-0.7364921938437616,-0.7390345757851577,1.0
89,-0.717549312716222,-0.6915018874103204,1.0
90,-0.6716803313155255,-0.7126267243538127,1.0
91,-0.6985861257229715,-0.7036173279412526,1.0
92,-0.720247771247434,-0.745107991830064,1.0
93,-0.7223404993504702,-0.707047276384108,1.0
94,-0.6937219308588085,-0.706757419821184,1.0
95,-0.7853858371484123,-0.7246118605959317,1.0
96,-0.7938261670680828,-0.6911327066125458,1.0
97,-0.6721962926225232,-0.7650270742185739,1.0
98,-0.7213153256027574,-0.7075515340112004,1.0
99,-0.6461282098463926,-0.7128209525608811,1.0
100,-0.716973144979371,-0.6602143979392863,1.0
101,-0.7852525206011819,-0.7414732065848384,1.0
102,-0.7121171780421817,-0.7382122896571841,1.0
103,-0.7728347335123941,-0.6709277240404263,1.0
104,-0.7066341031307131,-0.6708920501366346,1.0
105,-0.6774996365094843,-0.7635100541554266,1.0
106,-0.6706632370052236,-0.7158971834405415,1.0
107,-0.7734121125364057,-0.7107771241963325,1.0
108,-0.7084519224780872,-0.7668099296082643,1.0
109,-0.6332897654152188,-0.6717335776647765,1.0
110,-0.6889543540984819,-0.6878139855083645,1.0
111,-0.6859191374992994,-0.7842065456960494,1.0
112,-0.6829643533413325,-0.7139207467562041,1.0
113,-0.6622401681177008,-0.7013624433574499,1.0
114,-0.6995958890854377,-0.7042065685481681,1.0
115,-0.7193879669198333,-0.6239590291838052,1.0
116,-0.6911324726921748,-0.7718654790715658,1.0
117,-0.6709794185653077,-0.7097574245258096,1.0
118,-0.6905796772058695,-0.691977589427661,1.0
119,-0.6892887459740797,-0.6964924163865994,1.0
120,-0.642955727610515,-0.6748996708580667,1.0
121,-0.6885732085916165,-0.7008987954992394,1.0
122,-0.6342241893359017,-0.7130946974143549,1.0
123,-0.633514300427072,-0.6803620131612655,1.0
124,-0.7663184566685991,-0.6679991406687136,1.0
125,-0.6967041728849847,-0.674538578908638,1.0
126,-0.6714982383396819,-0.6640681547106659,1.0
127,-0.7619986792172113,-0.7696721902277601,1.0
128,-0.6585880013655073,-0.7269209549052841,1.0
129,-0.6925327831549103,-0.7011163671886463,1.0
130,-0.7278235074559998,-0.7372432745184503,1.0
131,-0.6574783037035234,-0.7662244483376415,1.0
