,x0,x1,y,Modes
0,0.1647102320410027,0.173912732751196,1,0.0
1,0.1681404493793367,-0.0029600800227556068,1,0.0
2,-0.18421825987180376,0.010309503150121191,1,0.0
3,-0.02223216353479751,-0.07279820830020153,1,0.0
4,-0.11246670685719735,-0.13705209474879465,1,0.0
5,-0.092241662428104,-0.04493948739963899,1,0.0
6,0.0892071016051515,0.06750978482006065,1,0.0
7,-0.0936713154127713,-0.1128504971466998,1,0.0
8,-0.0047132454123324785,0.11300531528421864,1,0.0
9,-0.16845183943755107,0.06268645476526019,1,0.0
10,0.09985027511930372,-0.18382337910769314,1,0.0
11,-0.12491486262829934,-0.03710934903443777,1,0.0
12,-0.097974829076591,-0.08366973518379206,1,0.0
13,0.11637390677320664,-0.012000855427482804,1,0.0
14,0.15329975182395178,-0.1929934877604024,1,0.0
15,0.010666628722295984,0.1138076516795889,1,0.0
16,-0.15975916202484025,0.02187146161399789,1,0.0
17,0.11486302571720691,-0.13440751557799024,1,0.0
18,0.054776592751501874,0.061869983704171794,1,0.0
19,-0.15020175484808887,-0.1784127397431887,1,0.0
20,-0.11359947400595077,-0.0061911563828963845,1,0.0
21,-0.16747399244624775,0.14493964120372332,1,0.0
22,-0.016733764516205785,-0.056157724674225,1,0.0
23,0.0802171230374582,-0.040797873512678884,1,0.0
24,-0.08857655199024342,-0.16130684907659068,1,0.0
25,0.07935311732943967,-0.05123413733022483,1,0.0
26,0.115309610626386,0.18707957940935221,1,0.0
27,0.1341759129963795,-0.04163539541974792,1,0.0
28,0.18832450611660762,-0.08272842711041428,1,0.0
29,-0.04384960291551647,0.2069001917510635,1,-1.0
30,0.08715681739649661,0.4307851117729872,1,-1.0
31,0.21174086305424158,0.5786374133009996,1,-1.0
32,0.2951786769874292,0.8120104128774283,1,-1.0
33,0.4997230204544735,1.0319281846891741,1,-1.0
34,0.5648831844701708,1.3109193946600173,1,-1.0
35,0.6975136795874021,1.5458589669937446,1,-1.0
36,0.8068340542827995,1.8223551253052983,1,-1.0
37,0.9664912371627132,2.0491021336361666,1,-1.0
38,1.0402477616848353,2.318752167894445,1,-1.0
39,1.164486199100532,2.7185625404839113,1,-1.0
40,1.347091913204358,2.9324039497214573,1,-1.0
41,1.3829122515428776,3.278428673832895,1,-1.0
42,1.599345023038695,3.638302707765985,1,-1.0
43,1.6856914023410239,3.9901263675138505,1,-1.0
44,1.769410158345346,4.324874502645069,1,-1.0
45,2.256228709127565,4.926874263948349,1,1.0
46,2.198383229272112,4.822339312193378,1,1.0
47,1.7924159166763964,4.4540679145191096,1,-1.0
48,1.6967341425637286,2.065965056054371,1,-1.0
49,1.602587279127581,0.8905305754985844,1,-1.0
50,1.430210205534644,0.31953875150745653,1,-1.0
51,1.3919519789489332,0.07426524710918758,1,-1.0
52,1.2473161426691126,-0.07601379484576797,1,-1.0
53,1.1535430644624571,-0.11106317686876675,1,-1.0
54,1.0358813134644662,-0.17422872944422674,1,-1.0
55,0.9662888555378704,-0.1971145796352192,1,-1.0
56,0.864738307198544,-0.14342801045250653,1,-1.0
57,0.8201660961146409,-0.1729410354345324,1,-1.0
58,0.5688218394877003,-0.1899427717293859,1,-1.0
59,0.5409914081471413,-0.2047821789813833,1,-1.0
60,0.37224246123862953,-0.17482841231268229,1,-1.0
61,0.2942054391746117,-0.22839747069841498,1,-1.0
62,0.1259807485888173,-0.21946512564863563,1,-1.0
63,0.12725438322524502,0.027854052600191415,1,0.0
64,0.049131934190328824,-0.038885637928339045,1,0.0
65,-0.11250960934709214,-0.16195127042218938,1,0.0
66,0.11517793379930574,0.05146083826400172,1,0.0
67,0.15468478001024932,0.1866051311165523,1,-1.0
68,0.3654814484544435,0.0643913728657265,1,-1.0
69,0.5528123731114293,0.012252112036130192,1,-1.0
70,0.7080440216800135,-0.14503018336577161,1,-1.0
71,0.9841763845021524,-0.26027419408906866,1,-1.0
72,1.1258069033690488,-0.2336954229418406,1,-1.0
73,1.422307076817842,-0.4026763286717354,1,-1.0
74,1.622664841031238,-0.4806201868111108,1,-1.0
75,1.8314231892567907,-0.5730875448090611,1,-1.0
76,2.1286127095056506,-0.6930527236461975,1,-1.0
77,2.348155088598419,-0.7740430486391672,1,-1.0
78,2.697188405366511,-0.9090523769473682,1,-1.0
79,3.000880815328642,-0.9645549358786083,1,-1.0
80,3.331127921949798,-1.1045032291404884,1,-1.0
81,3.677799525936704,-1.1637335984058723,1,-1.0
82,3.958753465304743,-1.2232531494655878,1,-1.0
83,3.568049508511512,-0.8392204569665729,1,2.0
84,3.832113231416934,-0.5308577657648812,1,2.0
85,3.9659502783654066,-0.8614957502531504,1,2.0
86,3.7170362647106034,-1.483584288668137,1,2.0
87,3.9459770170083304,-1.2390246341258693,1,2.0
88,4.71798604086899,-1.0781000003665067,1,2.0
89,4.2270213731868145,-1.426049032593241,1,2.0
90,4.421720001356272,-0.637122339826538,1,2.0
91,3.8489990381816472,-1.3947835457476463,1,2.0
92,3.868555639657664,-1.3068751977229307,1,2.0
